Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"waitForElementClickable(findTestObject(""masterCabang/btnCollapseMasterData""), 0)",Chrome 107.0.0.0,,,2022-11-03 22:41:24,2022-11-03 22:41:27,2.261s,PASSED
"click(findTestObject(""manajemenRole/btnManajemenRole""))",Chrome 107.0.0.0,,,2022-11-03 22:41:27,2022-11-03 22:41:27,0.543s,PASSED
"click(findTestObject(""manajemenRole/btnTambahRole""))",Chrome 107.0.0.0,,,2022-11-03 22:41:27,2022-11-03 22:41:28,0.616s,PASSED
"setText(findTestObject(""manajemenRole/fieldIdRole""), ""bagAll"")",Chrome 107.0.0.0,,,2022-11-03 22:41:28,2022-11-03 22:41:29,1.055s,PASSED
"setText(findTestObject(""manajemenRole/fieldNamaRole""), ""bagAll"")",Chrome 107.0.0.0,,,2022-11-03 22:41:29,2022-11-03 22:41:30,0.977s,PASSED
"click(findTestObject(""manajemenRole/checkAudit""))",Chrome 107.0.0.0,,,2022-11-03 22:41:30,2022-11-03 22:41:30,0.393s,PASSED
"click(findTestObject(""manajemenRole/checkBatchCorrection""))",Chrome 107.0.0.0,,,2022-11-03 22:41:30,2022-11-03 22:41:31,0.534s,PASSED
"click(findTestObject(""manajemenRole/checkEquipment""))",Chrome 107.0.0.0,,,2022-11-03 22:41:31,2022-11-03 22:41:31,0.507s,PASSED
"click(findTestObject(""manajemenRole/checkFacility""))",Chrome 107.0.0.0,,,2022-11-03 22:41:31,2022-11-03 22:41:32,0.509s,PASSED
"click(findTestObject(""manajemenRole/checkNieBatch""))",Chrome 107.0.0.0,,,2022-11-03 22:41:32,2022-11-03 22:41:32,0.490s,PASSED
"click(findTestObject(""manajemenRole/checkSelisih""))",Chrome 107.0.0.0,,,2022-11-03 22:41:32,2022-11-03 22:41:33,0.490s,PASSED
"click(findTestObject(""manajemenRole/btnSimpanRole""))",Chrome 107.0.0.0,,,2022-11-03 22:41:33,2022-11-03 22:41:33,0.486s,PASSED
delay(3),Chrome 107.0.0.0,,,2022-11-03 22:41:33,2022-11-03 22:41:36,3.006s,PASSED
closeBrowser(),Chrome 107.0.0.0,,,2022-11-03 22:41:36,2022-11-03 22:41:37,1.026s,PASSED
,,,,,,,
Test Cases/crudRole/testData,Chrome 107.0.0.0,,,2022-11-03 22:41:37,2022-11-03 22:41:53,15.835s,PASSED
"openBrowser(""http://staging.radyalabs.id:7008/"")",Chrome 107.0.0.0,,,2022-11-03 22:41:38,2022-11-03 22:41:41,3.300s,PASSED
maximizeWindow(),Chrome 107.0.0.0,,,2022-11-03 22:41:41,2022-11-03 22:41:41,0.411s,PASSED
"setText(findTestObject(""loginElement/fieldUsername""), ""sa"")",Chrome 107.0.0.0,,,2022-11-03 22:41:41,2022-11-03 22:41:42,0.891s,PASSED
"setText(findTestObject(""loginElement/fieldPassword""), ""qwerty@123"")",Chrome 107.0.0.0,,,2022-11-03 22:41:42,2022-11-03 22:41:43,0.786s,PASSED
"click(findTestObject(""loginElement/btnMasuk""))",Chrome 107.0.0.0,,,2022-11-03 22:41:43,2022-11-03 22:41:43,0.379s,PASSED
"waitForElementClickable(findTestObject(""masterCabang/btnCollapseMasterData""), 0)",Chrome 107.0.0.0,,,2022-11-03 22:41:43,2022-11-03 22:41:45,1.973s,PASSED
"click(findTestObject(""manajemenRole/btnManajemenRole""))",Chrome 107.0.0.0,,,2022-11-03 22:41:45,2022-11-03 22:41:46,0.495s,PASSED
"click(findTestObject(""manajemenRole/btnTambahRole""))",Chrome 107.0.0.0,,,2022-11-03 22:41:46,2022-11-03 22:41:46,0.600s,PASSED
"setText(findTestObject(""manajemenRole/fieldIdRole""), ""bagRole"")",Chrome 107.0.0.0,,,2022-11-03 22:41:46,2022-11-03 22:41:48,1.041s,PASSED
"setText(findTestObject(""manajemenRole/fieldNamaRole""), ""bagRole"")",Chrome 107.0.0.0,,,2022-11-03 22:41:48,2022-11-03 22:41:48,0.724s,PASSED
"click(findTestObject(""manajemenRole/checkAudit""))",Chrome 107.0.0.0,,,2022-11-03 22:41:48,2022-11-03 22:41:49,0.406s,PASSED
"click(findTestObject(""manajemenRole/btnSimpanRole""))",Chrome 107.0.0.0,,,2022-11-03 22:41:49,2022-11-03 22:41:49,0.530s,PASSED
delay(3),Chrome 107.0.0.0,,,2022-11-03 22:41:49,2022-11-03 22:41:52,3.012s,PASSED
closeBrowser(),Chrome 107.0.0.0,,,2022-11-03 22:41:52,2022-11-03 22:41:53,0.932s,PASSED
,,,,,,,
Test Cases/crudRole/editRole,Chrome 107.0.0.0,,,2022-11-03 22:41:53,2022-11-03 22:42:13,19.392s,PASSED
"openBrowser(""http://staging.radyalabs.id:7008/"")",Chrome 107.0.0.0,,,2022-11-03 22:41:53,2022-11-03 22:41:57,3.400s,PASSED
maximizeWindow(),Chrome 107.0.0.0,,,2022-11-03 22:41:57,2022-11-03 22:41:57,0.154s,PASSED
"setText(findTestObject(""loginElement/fieldUsername""), ""sa"")",Chrome 107.0.0.0,,,2022-11-03 22:41:57,2022-11-03 22:41:58,0.873s,PASSED
"setText(findTestObject(""loginElement/fieldPassword""), ""qwerty@123"")",Chrome 107.0.0.0,,,2022-11-03 22:41:58,2022-11-03 22:41:59,0.796s,PASSED
"click(findTestObject(""loginElement/btnMasuk""))",Chrome 107.0.0.0,,,2022-11-03 22:41:59,2022-11-03 22:41:59,0.357s,PASSED
"waitForElementClickable(findTestObject(""masterCabang/btnCollapseMasterData""), 0)",Chrome 107.0.0.0,,,2022-11-03 22:41:59,2022-11-03 22:42:01,1.938s,PASSED
"click(findTestObject(""manajemenRole/btnManajemenRole""))",Chrome 107.0.0.0,,,2022-11-03 22:42:01,2022-11-03 22:42:02,0.625s,PASSED
"setText(findTestObject(""manajemenRole/fieldSearchRole""), ""bagRole"")",Chrome 107.0.0.0,,,2022-11-03 22:42:02,2022-11-03 22:42:03,1.059s,PASSED
"click(findTestObject(""manajemenRole/btnSearchRole""))",Chrome 107.0.0.0,,,2022-11-03 22:42:03,2022-11-03 22:42:03,0.420s,PASSED
